years_experience,education,job_title,location,company_size,salary,skill_score
4.4,Bachelor,Senior Developer,Pune,Small,57137.0,32.1
1.9,Bachelor,Analyst,Remote,Small,53137.0,35.2
3.2,Master,Developer,Hyderabad,Medium,66418.0,51.1
9.2,Bachelor,Manager,Hyderabad,Small,84150.0,52.7
3.6,Bachelor,Manager,Delhi,Medium,101652.0,49.9
2.6,Master,Junior Developer,Bangalore,Medium,46612.0,49.9
2.8,Master,Junior Developer,Delhi,Medium,65874.0,30.7
4.3,Bachelor,Manager,Hyderabad,Large,91478.0,36.1
1.7,High School,Junior Developer,Pune,Medium,50486.0,42.2
2.2,Bachelor,Developer,Bangalore,Small,32043.0,38.1
6.3,Master,Senior Developer,Hyderabad,Large,104818.0,42.0
4.3,High School,Senior Developer,Pune,Large,69947.0,39.4
3.6,Bachelor,Lead,Remote,Small,64267.0,40.1
6.5,Master,Developer,Mumbai,Small,65483.0,33.9
1.8,High School,Analyst,Hyderabad,Small,44655.0,43.1
2.6,Master,Junior Developer,Mumbai,Small,43965.0,33.0
4.2,Bachelor,Junior Developer,Delhi,Large,55874.0,14.8
4.1,Bachelor,Analyst,Mumbai,Medium,72397.0,42.1
0.9,High School,Lead,Hyderabad,Medium,51141.0,25.3
2.4,Master,Lead,Mumbai,Large,96126.0,54.1
2.9,Bachelor,Junior Developer,Bangalore,Medium,75125.0,32.8
4.5,Bachelor,Junior Developer,Hyderabad,Medium,44256.0,32.5
4.0,Bachelor,Analyst,Pune,Large,82182.0,47.1
3.1,Master,Developer,Mumbai,Large,72512.0,32.7
0.4,PhD,Analyst,Bangalore,Large,92872.0,23.4
3.3,Bachelor,Lead,Delhi,Medium,85835.0,45.0
3.5,Bachelor,Analyst,Delhi,Medium,73032.0,30.1
14.6,PhD,Analyst,Mumbai,Small,96598.0,59.2
2.9,Bachelor,Analyst,Delhi,Medium,78711.0,56.0
4.2,Bachelor,Developer,Pune,Large,60685.0,48.4
7.2,High School,Data Scientist,Hyderabad,Small,74274.0,49.0
5.7,Master,Junior Developer,Bangalore,Medium,68362.0,47.1
8.4,Bachelor,Manager,Remote,Medium,87824.0,60.3
0.9,Bachelor,Analyst,Mumbai,Small,48513.0,42.4
1.4,Bachelor,Manager,Delhi,Medium,88092.0,26.6
2.1,High School,Data Scientist,Hyderabad,Small,58743.0,40.0
0.7,Bachelor,Junior Developer,Remote,Medium,60927.0,27.0
3.5,High School,Lead,Pune,Small,52291.0,38.6
1.5,Bachelor,Manager,Delhi,Large,106435.0,36.1
9.2,Bachelor,Lead,Delhi,Small,89252.0,57.5
1.7,Bachelor,Manager,Bangalore,Small,78289.0,42.5
2.6,Master,Lead,Pune,Small,70278.0,42.7
5.9,Master,Analyst,Pune,Large,80654.0,32.6
1.1,Master,Manager,Mumbai,Medium,94056.0,19.7
0.7,High School,Lead,Remote,Medium,47114.0,28.4
3.8,High School,Data Scientist,Bangalore,Medium,69572.0,59.7
4.1,Bachelor,Developer,Mumbai,Medium,47340.0,33.8
5.8,Master,Lead,Bangalore,Small,97367.0,45.3
4.9,Master,Developer,Pune,Medium,71748.0,39.3
4.2,Master,Developer,Bangalore,Small,64688.0,37.1
1.9,Bachelor,Junior Developer,Bangalore,Large,63511.0,37.5
4.0,Bachelor,Analyst,Bangalore,Medium,67336.0,56.0
4.1,Bachelor,Data Scientist,Hyderabad,Medium,97885.0,46.9
1.8,High School,Developer,Hyderabad,Small,26714.0,27.4
10.8,High School,Senior Developer,Remote,Medium,72453.0,89.9
4.7,Master,Analyst,Remote,Small,68376.0,44.9
1.4,Bachelor,Developer,Pune,Small,29230.0,28.4
5.8,Bachelor,Lead,Bangalore,Small,101373.0,61.5
6.5,High School,Developer,Pune,Medium,50229.0,44.8
4.5,Master,Lead,Hyderabad,Medium,93136.0,60.1
2.7,Bachelor,Lead,Bangalore,Medium,90455.0,29.4
1.7,Bachelor,Senior Developer,Mumbai,Small,66720.0,49.4
3.1,Master,Developer,Hyderabad,Medium,64505.0,41.3
4.3,Bachelor,Developer,Hyderabad,Medium,57641.0,55.8
3.4,Bachelor,Manager,Hyderabad,Small,67767.0,59.2
8.7,High School,Analyst,Bangalore,Small,50948.0,44.8
5.2,High School,Manager,Remote,Large,94538.0,58.4
1.6,Master,Junior Developer,Delhi,Large,70751.0,20.7
1.3,Master,Lead,Mumbai,Large,108369.0,23.4
4.7,Bachelor,Senior Developer,Mumbai,Large,84436.0,36.1
2.8,Bachelor,Manager,Pune,Small,66502.0,43.4
5.5,Bachelor,Developer,Bangalore,Small,59454.0,46.8
4.7,High School,Junior Developer,Remote,Medium,50889.0,42.4
3.1,Bachelor,Senior Developer,Hyderabad,Medium,76386.0,40.8
1.6,Bachelor,Data Scientist,Delhi,Large,90891.0,40.7
0.8,Bachelor,Developer,Bangalore,Medium,59955.0,39.1
3.9,Master,Developer,Bangalore,Medium,95231.0,52.6
1.0,Bachelor,Data Scientist,Remote,Small,67921.0,51.2
1.5,High School,Lead,Delhi,Large,66506.0,34.3
3.7,Bachelor,Lead,Hyderabad,Large,85710.0,35.9
3.5,Master,Manager,Bangalore,Small,97004.0,46.6
1.2,Bachelor,Manager,Mumbai,Large,85562.0,22.2
7.0,High School,Developer,Mumbai,Small,46355.0,44.2
6.9,Bachelor,Analyst,Delhi,Small,63843.0,60.7
4.8,Master,Developer,Hyderabad,Medium,79881.0,43.2
4.8,Bachelor,Manager,Delhi,Medium,104082.0,32.3
4.8,Master,Data Scientist,Bangalore,Small,96517.0,29.5
6.5,PhD,Manager,Mumbai,Medium,101699.0,50.0
5.3,Master,Developer,Pune,Large,84968.0,57.3
1.7,Bachelor,Senior Developer,Delhi,Medium,73044.0,46.4
2.8,Bachelor,Developer,Pune,Medium,54648.0,39.5
13.6,High School,Senior Developer,Pune,Small,55358.0,90.9
0.5,PhD,Senior Developer,Remote,Small,64786.0,30.5
2.3,Bachelor,Developer,Mumbai,Small,36265.0,35.5
7.0,High School,Analyst,Delhi,Small,34880.0,25.3
1.8,Bachelor,Analyst,Pune,Small,48577.0,30.9
5.4,Bachelor,Junior Developer,Bangalore,Small,39417.0,54.7
3.5,Bachelor,Manager,Remote,Medium,108002.0,56.1
1.9,Bachelor,Analyst,Hyderabad,Medium,58450.0,27.4
0.4,Bachelor,Lead,Remote,Large,91150.0,35.8
3.8,Master,Developer,Hyderabad,Small,43047.0,51.9
1.7,Bachelor,Senior Developer,Mumbai,Medium,65159.0,35.2
3.0,Bachelor,Developer,Delhi,Small,45775.0,16.2
4.8,Bachelor,Manager,Delhi,Medium,86335.0,46.9
6.1,Bachelor,Data Scientist,Hyderabad,Small,76822.0,55.9
2.3,Master,Analyst,Bangalore,Large,80856.0,27.4
1.9,Bachelor,Analyst,Hyderabad,Medium,57929.0,33.2
1.0,Bachelor,Analyst,Hyderabad,Medium,72841.0,21.4
6.3,High School,Senior Developer,Delhi,Small,59626.0,23.2
12.4,Master,Lead,Pune,Medium,110636.0,77.5
6.8,Bachelor,Lead,Bangalore,Medium,92917.0,50.4
7.8,Master,Analyst,Delhi,Small,77501.0,69.4
1.8,High School,Lead,Remote,Medium,62937.0,44.0
4.6,Bachelor,Data Scientist,Hyderabad,Large,94634.0,40.3
5.8,Bachelor,Analyst,Pune,Medium,67935.0,46.6
1.3,Master,Junior Developer,Bangalore,Large,76854.0,39.6
9.6,Bachelor,Senior Developer,Mumbai,Large,104210.0,68.5
0.8,Master,Data Scientist,Bangalore,Large,99677.0,35.6
8.6,Bachelor,Senior Developer,Bangalore,Medium,88343.0,66.9
0.8,Bachelor,Analyst,Hyderabad,Medium,56043.0,29.4
1.4,High School,Data Scientist,Hyderabad,Medium,71071.0,24.2
4.7,Master,Analyst,Mumbai,Medium,74612.0,43.5
3.5,Bachelor,Data Scientist,Mumbai,Large,96547.0,42.6
2.4,Master,Analyst,Mumbai,Small,74531.0,25.2
9.3,Master,Junior Developer,Delhi,Medium,73339.0,44.5
1.0,Master,Senior Developer,Delhi,Small,67082.0,37.5
3.0,Bachelor,Data Scientist,Hyderabad,Small,62422.0,34.9
5.1,Bachelor,Junior Developer,Hyderabad,Small,40726.0,43.6
4.1,Master,Developer,Mumbai,Medium,67269.0,38.7
2.0,High School,Analyst,Delhi,Small,34367.0,51.2
2.0,Bachelor,Manager,Pune,Medium,86173.0,48.6
6.0,High School,Data Scientist,Delhi,Medium,77567.0,35.6
6.2,Bachelor,Lead,Hyderabad,Small,76040.0,43.3
4.2,High School,Junior Developer,Delhi,Small,33372.0,51.1
1.6,High School,Junior Developer,Hyderabad,Medium,28554.0,40.8
2.1,Bachelor,Data Scientist,Mumbai,Medium,82010.0,35.9
3.3,Bachelor,Junior Developer,Mumbai,Large,63219.0,28.5
3.6,Bachelor,Developer,Mumbai,Large,77674.0,34.0
5.0,High School,Junior Developer,Pune,Large,54054.0,39.8
2.8,Bachelor,Manager,Pune,Medium,82305.0,41.2
6.0,High School,Manager,Hyderabad,Large,98192.0,65.0
5.9,Bachelor,Analyst,Bangalore,Large,93460.0,40.8
8.0,Bachelor,Analyst,Remote,Large,86334.0,43.7
3.4,Bachelor,Lead,Pune,Small,73180.0,39.1
4.2,Master,Developer,Hyderabad,Large,82205.0,52.9
3.0,Bachelor,Manager,Delhi,Medium,101520.0,24.5
1.6,Master,Data Scientist,Mumbai,Medium,102805.0,49.3
12.2,Bachelor,Senior Developer,Mumbai,Small,84934.0,64.9
7.3,Bachelor,Senior Developer,Mumbai,Medium,89149.0,44.6
5.8,Bachelor,Senior Developer,Hyderabad,Small,55947.0,31.4
3.3,High School,Analyst,Mumbai,Small,33582.0,47.0
1.5,Bachelor,Data Scientist,Pune,Small,71257.0,32.8
6.5,Bachelor,Junior Developer,Delhi,Large,67549.0,51.2
3.0,Bachelor,Data Scientist,Mumbai,Small,72649.0,30.0
4.5,High School,Junior Developer,Hyderabad,Medium,48607.0,40.3
2.1,High School,Senior Developer,Delhi,Small,33297.0,31.4
4.0,Master,Lead,Mumbai,Medium,89722.0,41.0
2.2,Bachelor,Lead,Bangalore,Small,65520.0,29.9
2.3,High School,Junior Developer,Mumbai,Small,17510.0,21.6
4.0,Bachelor,Senior Developer,Remote,Medium,79958.0,69.3
0.8,Bachelor,Data Scientist,Pune,Medium,67726.0,18.8
0.9,Master,Lead,Delhi,Small,71093.0,34.5
1.8,High School,Junior Developer,Pune,Small,32864.0,17.7
2.8,Bachelor,Data Scientist,Bangalore,Small,80768.0,18.4
6.1,Master,Senior Developer,Bangalore,Large,88335.0,49.3
2.9,High School,Developer,Remote,Medium,46260.0,40.4
3.3,Bachelor,Senior Developer,Pune,Medium,70918.0,52.5
2.6,PhD,Analyst,Delhi,Small,90864.0,41.8
4.2,Bachelor,Senior Developer,Bangalore,Medium,76632.0,41.1
1.6,Bachelor,Data Scientist,Bangalore,Small,72070.0,25.3
3.1,High School,Data Scientist,Mumbai,Small,60348.0,54.3
4.5,High School,Manager,Remote,Medium,73046.0,52.8
3.9,Bachelor,Manager,Hyderabad,Medium,84194.0,29.2
3.4,Master,Data Scientist,Bangalore,Small,97769.0,40.6
3.4,Bachelor,Data Scientist,Delhi,Medium,85944.0,41.6
4.8,Master,Developer,Delhi,Large,83122.0,40.9
12.6,Master,Developer,Mumbai,Medium,98314.0,75.5
1.7,Bachelor,Senior Developer,Delhi,Medium,48532.0,43.4
12.8,High School,Analyst,Mumbai,Large,94831.0,66.5
1.7,Bachelor,Lead,Bangalore,Large,88843.0,32.3
0.3,Master,Analyst,Bangalore,Medium,72080.0,45.9
2.2,Master,Developer,Bangalore,Medium,57773.0,45.9
4.3,High School,Senior Developer,Bangalore,Small,47559.0,43.6
10.9,Bachelor,Analyst,Hyderabad,Medium,81711.0,46.4
1.5,Bachelor,Junior Developer,Remote,Small,52077.0,37.9
4.8,Master,Manager,Remote,Small,97627.0,51.4
1.0,High School,Analyst,Hyderabad,Medium,58124.0,5.5
10.7,Bachelor,Lead,Bangalore,Small,84864.0,64.6
7.4,Master,Senior Developer,Delhi,Medium,83998.0,48.0
2.3,Bachelor,Analyst,Mumbai,Medium,57354.0,34.7
8.2,Bachelor,Data Scientist,Remote,Medium,87494.0,45.5
3.0,High School,Junior Developer,Pune,Small,11578.0,37.5
7.7,Bachelor,Manager,Mumbai,Small,85601.0,67.0
3.3,Bachelor,Junior Developer,Pune,Medium,44117.0,35.4
3.5,Master,Senior Developer,Pune,Large,87597.0,50.2
2.3,Bachelor,Developer,Bangalore,Small,45654.0,28.8
5.2,Bachelor,Manager,Pune,Small,85300.0,53.2
3.7,Bachelor,Junior Developer,Bangalore,Large,62281.0,41.1
4.8,High School,Developer,Hyderabad,Small,32948.0,47.9
0.7,Bachelor,Lead,Delhi,Large,69693.0,32.2
7.8,Master,Senior Developer,Pune,Medium,82998.0,59.8
9.2,Master,Senior Developer,Delhi,Medium,84620.0,31.9
3.6,Bachelor,Manager,Bangalore,Medium,95929.0,26.6
12.0,Bachelor,Junior Developer,Pune,Small,63274.0,70.2
10.2,High School,Lead,Mumbai,Medium,93909.0,40.2
5.3,Master,Data Scientist,Hyderabad,Large,114656.0,40.6
8.3,High School,Manager,Remote,Medium,85532.0,54.4
6.9,Master,Data Scientist,Hyderabad,Medium,97624.0,42.4
0.5,Bachelor,Manager,Pune,Medium,77023.0,24.6
2.7,Master,Junior Developer,Hyderabad,Small,36340.0,40.8
5.6,Master,Lead,Remote,Medium,99135.0,56.9
9.6,Master,Junior Developer,Mumbai,Medium,73802.0,49.2
0.9,Bachelor,Senior Developer,Delhi,Medium,55829.0,26.9
0.6,Bachelor,Data Scientist,Mumbai,Medium,75588.0,24.5
3.2,Bachelor,Developer,Hyderabad,Medium,47464.0,15.4
0.3,Master,Analyst,Remote,Large,73944.0,32.3
3.1,High School,Senior Developer,Delhi,Medium,68740.0,48.6
4.4,PhD,Senior Developer,Remote,Small,76016.0,53.4
1.4,Master,Data Scientist,Mumbai,Medium,75780.0,25.5
3.2,Bachelor,Manager,Bangalore,Medium,89887.0,27.1
6.5,Master,Senior Developer,Bangalore,Medium,86750.0,49.7
2.1,Bachelor,Analyst,Delhi,Large,69401.0,44.6
1.7,Bachelor,Lead,Delhi,Medium,72380.0,36.6
3.1,Bachelor,Senior Developer,Delhi,Medium,71940.0,42.2
1.3,Bachelor,Lead,Bangalore,Medium,78129.0,45.3
11.4,Master,Junior Developer,Mumbai,Small,68601.0,56.8
3.4,Bachelor,Manager,Delhi,Small,84101.0,38.0
1.8,Bachelor,Lead,Bangalore,Large,85161.0,51.7
3.9,Bachelor,Senior Developer,Delhi,Medium,67907.0,39.7
3.1,Master,Manager,Delhi,Small,101241.0,26.6
2.8,High School,Analyst,Remote,Small,43075.0,31.7
2.1,Master,Manager,Delhi,Medium,104816.0,26.9
2.1,Bachelor,Lead,Bangalore,Medium,89009.0,39.9
0.8,Bachelor,Lead,Mumbai,Large,91808.0,23.4
8.3,Bachelor,Developer,Bangalore,Small,64027.0,57.6
5.1,Bachelor,Developer,Bangalore,Large,57565.0,37.9
4.2,Master,Manager,Delhi,Medium,104033.0,21.4
3.0,Bachelor,Data Scientist,Remote,Medium,79538.0,42.1
1.4,Master,Data Scientist,Pune,Medium,103221.0,35.7
1.7,High School,Developer,Pune,Small,37821.0,40.3
0.8,Bachelor,Senior Developer,Pune,Large,68556.0,25.7
1.9,PhD,Junior Developer,Bangalore,Small,61782.0,27.9
1.2,Master,Manager,Delhi,Small,87741.0,37.6
9.9,Bachelor,Junior Developer,Pune,Large,75435.0,74.9
6.2,Bachelor,Developer,Hyderabad,Medium,52249.0,48.7
3.5,Bachelor,Lead,Hyderabad,Large,92880.0,44.7
1.6,Bachelor,Analyst,Hyderabad,Medium,57375.0,31.6
1.3,Master,Manager,Mumbai,Medium,100860.0,18.5
2.9,Master,Developer,Delhi,Large,69005.0,48.4
6.3,Bachelor,Senior Developer,Bangalore,Small,62919.0,58.0
0.9,Master,Analyst,Bangalore,Large,89191.0,39.8
5.0,Bachelor,Manager,Delhi,Small,75588.0,43.2
1.9,Bachelor,Manager,Remote,Large,85978.0,41.7
2.2,Bachelor,Data Scientist,Remote,Small,68987.0,45.5
3.5,Bachelor,Lead,Mumbai,Medium,76825.0,56.7
1.6,Bachelor,Manager,Delhi,Large,90120.0,44.7
2.8,Bachelor,Lead,Remote,Medium,76441.0,39.0
1.5,Bachelor,Developer,Mumbai,Medium,41959.0,21.4
2.1,High School,Senior Developer,Pune,Large,58136.0,37.9
5.7,Master,Analyst,Pune,Medium,92833.0,49.7
3.6,Bachelor,Analyst,Mumbai,Large,79876.0,47.9
5.7,High School,Senior Developer,Delhi,Medium,59427.0,60.6
1.9,Master,Manager,Pune,Small,89146.0,34.7
5.0,Master,Manager,Delhi,Small,98539.0,66.0
0.6,Master,Developer,Remote,Small,54155.0,14.2
3.5,Bachelor,Data Scientist,Pune,Small,72983.0,44.7
5.3,High School,Data Scientist,Remote,Medium,83412.0,37.9
0.6,Bachelor,Data Scientist,Delhi,Small,53892.0,12.7
1.9,High School,Lead,Delhi,Small,49350.0,33.7
3.5,Master,Data Scientist,Hyderabad,Small,86311.0,25.9
6.7,High School,Senior Developer,Mumbai,Large,82037.0,48.5
2.1,Bachelor,Analyst,Bangalore,Medium,54906.0,36.6
4.9,Bachelor,Analyst,Mumbai,Medium,70875.0,55.9
8.6,Bachelor,Lead,Delhi,Large,96209.0,40.7
5.1,Master,Developer,Delhi,Small,56984.0,54.4
2.8,Bachelor,Senior Developer,Mumbai,Large,89798.0,39.4
4.4,High School,Analyst,Delhi,Medium,63071.0,53.5
2.0,Bachelor,Senior Developer,Remote,Small,46024.0,31.7
3.6,Bachelor,Analyst,Pune,Medium,53742.0,27.5
2.9,High School,Junior Developer,Delhi,Medium,36511.0,26.5
4.3,Bachelor,Developer,Mumbai,Medium,59386.0,30.0
2.4,Bachelor,Developer,Mumbai,Large,60537.0,42.0
4.5,Master,Junior Developer,Mumbai,Small,63325.0,58.3
2.4,Master,Lead,Hyderabad,Small,80579.0,31.6
6.1,Master,Analyst,Remote,Small,68449.0,54.6
2.6,Master,Analyst,Remote,Small,48068.0,22.6
0.4,Bachelor,Analyst,Hyderabad,Small,56138.0,33.0
1.3,High School,Data Scientist,Remote,Large,55039.0,40.6
3.4,Bachelor,Data Scientist,Hyderabad,Small,81472.0,25.7
9.8,Master,Data Scientist,Remote,Medium,112074.0,57.4
6.0,PhD,Data Scientist,Hyderabad,Medium,106541.0,55.2
0.3,Master,Data Scientist,Hyderabad,Large,108783.0,1.6
0.8,High School,Junior Developer,Remote,Large,41095.0,45.8
7.2,Master,Developer,Hyderabad,Medium,72899.0,55.1
5.2,Bachelor,Lead,Remote,Large,93116.0,52.8
13.3,High School,Senior Developer,Hyderabad,Medium,105093.0,65.8
2.3,Bachelor,Data Scientist,Mumbai,Large,106355.0,19.7
1.6,High School,Junior Developer,Bangalore,Medium,43809.0,40.1
3.5,Bachelor,Analyst,Remote,Small,42698.0,39.7
2.2,Bachelor,Lead,Hyderabad,Medium,78549.0,36.9
6.8,Bachelor,Lead,Mumbai,Medium,83095.0,61.3
2.2,Bachelor,Lead,Bangalore,Medium,85977.0,44.2
2.7,Master,Junior Developer,Hyderabad,Small,49524.0,57.3
1.4,Bachelor,Senior Developer,Bangalore,Medium,58804.0,35.7
5.7,Bachelor,Data Scientist,Remote,Large,97049.0,40.2
1.5,Master,Lead,Bangalore,Small,71205.0,32.6
4.5,Master,Junior Developer,Pune,Medium,62210.0,47.7
10.9,High School,Analyst,Delhi,Medium,61927.0,72.9
0.5,Bachelor,Developer,Pune,Large,58220.0,16.8
8.9,Bachelor,Analyst,Remote,Large,86804.0,56.8
4.1,High School,Junior Developer,Remote,Medium,37776.0,58.4
1.2,Bachelor,Junior Developer,Bangalore,Medium,44273.0,31.2
3.6,Master,Junior Developer,Mumbai,Small,54826.0,50.1
5.6,High School,Lead,Hyderabad,Medium,79777.0,51.7
1.7,Master,Junior Developer,Delhi,Medium,48543.0,44.7
4.7,Master,Developer,Hyderabad,Large,79485.0,36.0
9.4,Master,Lead,Mumbai,Medium,115340.0,50.1
2.2,Bachelor,Analyst,Remote,Small,51989.0,36.8
1.4,Master,Developer,Delhi,Medium,62262.0,18.9
3.0,Bachelor,Manager,Pune,Medium,93118.0,36.3
3.5,Bachelor,Analyst,Remote,Small,53620.0,43.0
7.0,High School,Junior Developer,Remote,Small,40029.0,68.8
2.9,High School,Data Scientist,Bangalore,Small,49609.0,42.7
2.3,Master,Data Scientist,Mumbai,Large,93172.0,43.2
1.3,Bachelor,Lead,Bangalore,Small,75639.0,45.5
0.6,Bachelor,Data Scientist,Bangalore,Small,59158.0,22.2
1.0,High School,Analyst,Hyderabad,Large,61212.0,31.3
1.0,Bachelor,Lead,Remote,Medium,69184.0,57.3
2.7,High School,Analyst,Mumbai,Small,36430.0,37.3
0.8,Master,Junior Developer,Bangalore,Small,49397.0,43.6
3.2,High School,Senior Developer,Pune,Small,50008.0,49.2
10.7,High School,Senior Developer,Delhi,Small,82283.0,47.3
7.2,Bachelor,Developer,Mumbai,Small,50402.0,54.7
2.7,Bachelor,Junior Developer,Hyderabad,Medium,59921.0,39.6
15.4,Bachelor,Data Scientist,Mumbai,Small,104619.0,79.5
3.5,Bachelor,Junior Developer,Remote,Medium,41712.0,33.0
3.9,PhD,Manager,Hyderabad,Large,127194.0,30.5
3.0,Bachelor,Senior Developer,Delhi,Medium,74526.0,34.2
3.2,High School,Data Scientist,Pune,Large,83687.0,38.6
2.1,Bachelor,Analyst,Bangalore,Medium,64330.0,48.1
2.7,Master,Analyst,Mumbai,Medium,69624.0,56.3
8.9,Bachelor,Senior Developer,Hyderabad,Medium,74194.0,70.7
7.7,High School,Junior Developer,Delhi,Small,45476.0,61.7
0.3,Master,Data Scientist,Bangalore,Small,78808.0,20.9
0.9,Bachelor,Developer,Delhi,Medium,50159.0,28.6
1.7,Bachelor,Analyst,Pune,Medium,60639.0,37.2
6.4,High School,Junior Developer,Bangalore,Medium,49922.0,42.9
7.8,High School,Developer,Bangalore,Large,54165.0,59.2
5.6,Bachelor,Data Scientist,Bangalore,Medium,101490.0,54.0
1.2,Bachelor,Senior Developer,Hyderabad,Medium,66369.0,39.0
2.2,Bachelor,Manager,Bangalore,Medium,87779.0,46.9
4.8,Bachelor,Lead,Delhi,Large,97047.0,35.4
2.8,Bachelor,Senior Developer,Hyderabad,Large,80492.0,47.7
2.5,Master,Developer,Bangalore,Large,81137.0,30.5
2.5,Master,Junior Developer,Delhi,Small,53304.0,28.1
7.3,Master,Analyst,Delhi,Medium,87343.0,57.2
5.1,High School,Data Scientist,Mumbai,Small,82008.0,57.5
2.6,High School,Senior Developer,Delhi,Small,56269.0,42.7
4.2,Bachelor,Analyst,Remote,Large,70116.0,42.8
1.0,High School,Analyst,Pune,Small,28017.0,36.1
2.2,PhD,Manager,Bangalore,Large,132742.0,38.0
6.8,High School,Data Scientist,Bangalore,Small,71698.0,39.1
0.7,Bachelor,Developer,Bangalore,Large,57615.0,19.7
5.2,Bachelor,Data Scientist,Delhi,Small,65506.0,44.8
0.3,Bachelor,Data Scientist,Delhi,Medium,82308.0,31.7
9.9,High School,Junior Developer,Bangalore,Small,45991.0,59.8
2.1,Bachelor,Lead,Remote,Medium,62079.0,43.1
4.5,Bachelor,Analyst,Hyderabad,Medium,68626.0,41.3
3.6,Master,Developer,Hyderabad,Medium,61214.0,46.4
3.7,High School,Junior Developer,Pune,Small,50923.0,39.7
4.2,Master,Analyst,Mumbai,Small,62845.0,60.8
0.6,Master,Lead,Pune,Small,69718.0,32.6
3.8,Bachelor,Junior Developer,Bangalore,Medium,45602.0,64.8
2.9,Master,Lead,Bangalore,Large,111023.0,42.2
2.1,High School,Lead,Bangalore,Large,76218.0,34.2
1.7,PhD,Lead,Mumbai,Small,83601.0,26.1
3.9,Bachelor,Junior Developer,Delhi,Medium,57456.0,27.3
1.4,Bachelor,Data Scientist,Mumbai,Medium,72757.0,24.3
6.8,Bachelor,Lead,Pune,Small,80601.0,41.6
4.7,High School,Data Scientist,Delhi,Medium,92651.0,48.0
4.0,PhD,Analyst,Delhi,Medium,89533.0,36.7
6.6,High School,Analyst,Pune,Small,53303.0,51.7
0.5,Bachelor,Developer,Delhi,Small,46960.0,44.3
1.0,Bachelor,Manager,Hyderabad,Small,88678.0,32.1
4.9,Master,Data Scientist,Pune,Medium,106479.0,65.5
1.8,Bachelor,Analyst,Pune,Small,52117.0,23.6
2.0,Bachelor,Manager,Hyderabad,Small,84231.0,34.5
0.9,Bachelor,Lead,Mumbai,Medium,70713.0,27.3
1.4,Master,Manager,Mumbai,Small,95010.0,43.6
6.9,High School,Manager,Mumbai,Small,71756.0,28.3
4.8,High School,Lead,Delhi,Large,80664.0,30.0
3.8,Bachelor,Data Scientist,Hyderabad,Small,50940.0,40.3
2.1,Master,Lead,Pune,Medium,89411.0,51.8
3.7,High School,Developer,Pune,Medium,39249.0,43.4
7.3,Bachelor,Senior Developer,Pune,Medium,85489.0,38.4
